"SCAC","Trailer ID","Last Location","Last Position Time","Last Event","Last Event Time","Dormant State","Days Dormant","Ext Power","Latitude","Longitude","MSN","Sched Status Report Time","Status Report Interval","Queued Status Report Interval","Emergency Tracking","Reporting Interval","Temp Notification","Low Battery","Depleted Battery","GPS Antenna","Overdue Status","Stale Position","Loaded/Empty","Loaded Time","Cargo Status","Door Status","Aux Status","Trip Status","Monitoring Plan ID","Description","Overrides","Trailer Type","Manufacturer","Model Year","Length","Door Type","Suspension Type","Roof Type","Lift Gate Equipped","Mobile Unit Type","Tractor ID","Tractor SCAC","Connected/Disconnected","Connect Time","Active Geofence","Group Membership","Firmware","Reefer Last Communication Time","Reefer Type","Reefer Model","Enabled for Monitoring","Reefer Mode","Reefer Engine Mode","Reefer Engine State","Reefer Engine Speed","Reefer Operating Status","Reefer Set Point","Reefer Return Temp","Reefer Supply Temp","Reefer Engine Hours","Reefer Battery Voltage","Highest OEM Alarm State","Temp Out-of-Range Alarm","Low Fuel Alarm","Incorrect Set Point Alarm","Reefer OEM Alarm Severity Level","Reefer OEM Alarm Codes"
"BGME","CH1","1.08 miles ESE of Williamsburg, IN","01/07/09 16:33:10  EST","UTT Status Report","01/07/09 16:32:35  EST","low","2","no","39.87111","-84.93083","0120133166","","01 00:00:00","never","off","","no","","","","","","unknown","","not installed","not installed","not installed","n/a","FRT","Freight","yes","CH","TAL","1999","48 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","TE.02.12.00000","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","CH100","At ATN in CHATTANOOGA, TN","12/30/08 01:28:57  EST","Battery Needs Charge","12/30/08 01:27:50  EST","high","72","no","35.02861","-85.29500","0120144547","06 am","","never","off","","no","medium","medium","","","","unknown","","not installed","not installed","not installed","unknown","TT","Truck Transport","yes","CH","STE","1985","44 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","CH5","(unknown)","06/12/08 04:53:48  EDT","Chg Trlr Monitoring","09/11/08 16:52:20  EDT","high","210","no","33.41944","-84.18388","0120156774","06 am","","never","off","","no","","","","medium","high","unknown","","unknown","unknown","unknown","unknown","FRT","Freight","yes","CH","STU","1985","48 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","CH8","At Bennett Yard in MCDONOUGH, GA","12/27/08 07:13:44  EST","Battery Needs Charge","12/27/08 07:14:05  EST","high","58","no","33.41944","-84.18361","0120172070","06 am","","never","off","","no","medium","medium","","","","unknown","","not installed","not installed","not installed","unknown","TT","Truck Transport","yes","CH","STU","1986","48 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","CH9","1.22 miles NNE of Bellefontaine, OH","01/08/09 07:59:21  EST","UTT Status Report","01/08/09 07:59:30  EST","low","0","yes","40.37833","-83.75444","0120156772","06 am","","never","off","","no","","","","","","unknown","","not installed","not installed","not installed","unknown","FRT","Freight","yes","DA","STU","1987","48 ft","unknown","unknown","unknown","unknown","untethered","","","connected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","CH999","At Bennett Yard in MCDONOUGH, GA","10/24/08 08:04:58  EDT","Battery Needs Charge","10/24/08 08:05:20  EDT","high","86","no","33.41916","-84.18333","0120197174","06 am","","never","off","","no","medium","medium","","medium","","unknown","","not installed","not installed","not installed","unknown","TT","Truck Transport","yes","DA","TAL","1986","48 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DD01","At TOK in Tulsa, OK","10/27/08 19:14:35  EDT","Battery Needs Charge","10/27/08 19:15:00  EDT","high","114","no","36.17944","-95.78555","0120133178","06 am","","never","off","","no","medium","medium","","medium","high","unknown","","not installed","not installed","not installed","unknown","TT","Truck Transport","yes","RGN","TRK","1996","48 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DD011","4.71 miles NNW of H&P Yard in Jacinto...","01/08/09 09:52:59  EST","UTT Status Report","01/08/09 09:51:39  EST","low","1","no","29.81250","-95.23861","0120119939","06 am","","never","off","","no","","","","","medium","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","DD","FON","2001","54 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DD012","At TOK in Tulsa, OK","12/20/08 10:25:22  EST","UTT Status Report","12/20/08 10:24:39  EST","high","19","no","36.17944","-95.78694","0120133150","06 am","","never","off","","no","medium","","","","","unknown","","not installed","not installed","not installed","unknown","HH","Heavy Haul","yes","DD","FON","2001","48 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BGME","DD013","At RRT in New Boston, TX","01/07/09 22:30:59  EST","UTT Status Report","01/07/09 22:30:11  EST","high","27","no","33.45527","-94.40944","0120133552","06 am","","never","off","","no","","","","","","unknown","","not installed","not installed","not installed","unknown","FRT","Freight","yes","DD","FON","2005","48 ft","unknown","unknown","unknown","unknown","untethered","","","disconnected","","no","ungrouped","","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
